timeslot, start_station_id, count
0, 477, 345
0, 380, 287
0, 312, 257
0, 293, 229
0, 368, 212
0, 404, 206
0, 521, 205
0, 285, 203
0, 336, 191
0, 151, 186
1, 521, 4561
1, 477, 2829
1, 519, 2646
1, 490, 2621
1, 318, 2010
1, 517, 1824
1, 518, 1524
1, 497, 1517
1, 523, 1516
1, 284, 1489
2, 497, 3187
2, 435, 3001
2, 402, 2957
2, 293, 2690
2, 285, 2497
2, 444, 2421
2, 459, 2355
2, 168, 2297
2, 151, 2290
2, 382, 2179
3, 497, 2391
3, 519, 2293
3, 293, 2020
3, 285, 1815
3, 435, 1812
3, 459, 1798
3, 382, 1675
3, 151, 1553
3, 402, 1458
3, 521, 1449